1471	"N :Matsukura;zkko,90,87-94;1977"
1472	"M :Munoz;canr,38,1504-1508;1973/Dunn 1969"
1473m	"E M :Essigmann;canr,41,2823-2831;1981/pers.comm."
1473n	"E M :Essigmann;canr,41,2823-2831;1981/pers.comm."
1473o	"E M :Essigmann;canr,41,2823-2831;1981/pers.comm."
1474m	"M M :Lipsky;jnci,67,365-371;1981"
1474n	"M M :Lipsky;jnci,67,365-371;1981"
1475	"E J L :Arffmann;jnci,67,1071-1075;1981"
1477	"F F :Becker;canr,42,3918-3923;1982"
1477m	"F F :Becker;canr,42,3918-3923;1982"
1477n	"F F :Becker;canr,42,3918-3923;1982"
1477o	"F F :Becker;canr,42,3918-3923;1982"
1477r	"F F :Becker;canr,42,3918-3923;1982"
1478	"J K :Reddy;canr,42,259-266;1982"
1479m	"S :Cohen;canr,42,65-71;1982"
1479n	"S :Cohen;canr,42,65-71;1982"
1480	"S S :Mirvish;jnci,69,961-962;1982"
1481	"H :Tsuda;jnci,69,1383-1387;1982"
1482	"I :Hirono;carc,3,353-355;1982"
1483	"R :Preussmann;canr,42,5167-5171;1982"
1484m	"A :Flaks;carc,3,981-991;1982"
1484n	"A :Flaks;carc,3,981-991;1982"
1484o	"A :Flaks;carc,3,981-991;1982"
1486	"H :Dunkelberg;bjca,46,924-933;1982"
1487	"S S :Hecht;clet,16,103-108;1982"
1488	"G :Della Porta;carc,3,647-649;1982"
1489	"R :Preussmann;carc,3,1219-1222;1982"
1490	"A :Maekawa;fctx,20,25-33;1982"
1491m	"W R :Leopold;canr,42,4364-4374;1982"
1491n	"W R :Leopold;canr,42,4364-4374;1982"
1491o	"W R :Leopold;canr,42,4364-4374;1982"
1492m	"M :Enomoto;fctx,20,547-556;1982"
1492n	"M :Enomoto;fctx,20,547-556;1982"
1494	"H :Onodera;gann,73,48-54;1982"
15	"L P :Merkow;canr,33,1608-1614;1973"
1500	"H K :Watanabe;gann,73,136-140;1982"
1501	"K :Nakanishi;ijcn,29,439-444;1982"
1503	"M B :Ketkar;zkko,104,75-79;1982"
1505	"W C :Hueper;aenh,5,445-462;1962"
1506	"K V :Sanderson;becc,39,628-629;1961"
1507	"W R :Byron;txap,10,132-147;1967"
1509	"C :Baroni;aenh,7,668-674;1963/Shubik 1962"
1512	"M :Kanisawa;canr,27,1192-1195;1967"
1513	"T H :Jukes;scie,132,296-297;1960"
1514	"D J :Lee;jnci,43,1037-1041;1969"
